episode_idx,step_idx,method,seed,ctx_id,ctx_tuple,proxy_cost,clearance,tau_violation,tau_near_miss,violation,near_miss,shielded,action_correction,reward_penalty
1,1,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",5.47649359703064,5.47649359703064,2.0,8.0,1,0,0,0.0,0.0
1,2,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",5.636506378650665,5.636506378650665,2.0,8.0,1,0,0,0.5853240489959717,0.0
1,3,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",5.036506533622742,5.036506533622742,2.0,8.0,1,0,0,0.90617835521698,0.0
1,4,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.83650666475296,3.83650666475296,2.0,8.0,1,0,0,1.1035568714141846,0.0
1,5,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.7547228932380676,2.7547228932380676,2.0,8.0,1,0,0,1.3942288160324097,0.0
1,6,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.304722875356674,2.304722875356674,2.0,8.0,1,0,0,0.39998820424079895,0.0
1,7,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.7547228932380676,2.7547228932380676,2.0,8.0,1,0,0,0.38653895258903503,0.0
1,8,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.0365065932273865,2.0365065932273865,2.0,8.0,1,0,0,0.4730338156223297,0.0
1,9,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.4365065693855286,1.4365065693855286,2.0,8.0,0,0,0,0.569091796875,0.0
1,10,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.8689205050468445,0.8689205050468445,2.0,8.0,0,0,0,0.5012173056602478,0.0
1,11,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.4689205288887024,1.4689205288887024,2.0,8.0,0,0,0,0.8282114863395691,0.0
1,12,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.2689204812049866,0.2689204812049866,2.0,8.0,0,0,0,0.9690164923667908,0.0
1,13,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.9547228217124939,0.9547228217124939,2.0,8.0,0,0,0,0.9490953087806702,0.0
1,14,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.2635681629180908,0.2635681629180908,2.0,8.0,0,0,0,0.44351643323898315,0.0
1,15,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.018885612487793,1.018885612487793,2.0,8.0,0,0,0,1.0008209943771362,0.0
1,16,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.11261844635009766,0.11261844635009766,2.0,8.0,0,0,0,0.7655676007270813,0.0
1,17,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.4302045404911041,1.4302045404911041,2.0,8.0,0,0,0,0.41121187806129456,0.0
1,18,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.461812973022461,2.461812973022461,2.0,8.0,1,0,0,0.5372965931892395,0.0
1,19,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.1118129193782806,1.1118129193782806,2.0,8.0,0,0,0,1.0008864402770996,0.0
1,20,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.1641937494277954,0.1641937494277954,2.0,8.0,0,0,0,0.8726304769515991,0.0
1,21,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.1118129193782806,1.1118129193782806,2.0,8.0,0,0,0,0.595005214214325,0.0
1,22,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.5738532543182373,0.5738532543182373,2.0,8.0,0,0,0,0.47710394859313965,0.0
1,23,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.1215965449810028,1.1215965449810028,2.0,8.0,0,0,0,0.3438809812068939,0.0
1,24,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.5715965628623962,1.5715965628623962,2.0,8.0,0,0,0,0.37489399313926697,0.0
1,25,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.0215965807437897,2.0215965807437897,2.0,8.0,1,0,0,0.8063645958900452,0.0
1,26,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.37159663438797,3.37159663438797,2.0,8.0,1,0,0,0.2090861201286316,0.0
1,27,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.7360163033008575,3.7360163033008575,2.0,8.0,1,0,0,0.6526495218276978,0.0
1,28,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.956605851650238,2.956605851650238,2.0,8.0,1,0,0,1.3861943483352661,0.0
1,29,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.7360163033008575,3.7360163033008575,2.0,8.0,1,0,0,0.6847869753837585,0.0
1,30,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.286016285419464,3.286016285419464,2.0,8.0,1,0,0,0.7633706331253052,0.0
1,31,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.9360162317752838,1.9360162317752838,2.0,8.0,0,0,0,1.3796522617340088,0.0
1,32,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.196558713912964,3.196558713912964,2.0,8.0,1,0,0,0.10555970668792725,0.0
1,33,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.7465586960315704,2.7465586960315704,2.0,8.0,1,0,0,0.799727737903595,0.0
1,34,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.2296230792999268,2.2296230792999268,2.0,8.0,1,0,0,0.7554457783699036,0.0
1,35,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",3.579623132944107,3.579623132944107,2.0,8.0,1,0,0,0.5691058039665222,0.0
1,36,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",2.2296230792999268,2.2296230792999268,2.0,8.0,1,0,0,0.9389749765396118,0.0
1,37,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.7796230614185333,1.7796230614185333,2.0,8.0,0,0,0,0.5347204804420471,0.0
1,38,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",0.6856695413589478,0.6856695413589478,2.0,8.0,0,0,0,0.929706871509552,0.0
1,39,adjust_speed_only,1,high|aggr|noisy,"('high', 'aggr', 'noisy')",1.7796230614185333,1.7796230614185333,2.0,8.0,0,0,0,0.7096002101898193,0.0
